[epoch:0, iter:1] avg_LOSS: 2.494 | avg_ACC: 9.375% 
[epoch:0, iter:80] avg_LOSS: 1.935 | avg_ACC: 29.219% 
[epoch:0, iter:81] avg_LOSS: 1.933 | avg_ACC: 29.263% 
[epoch:0, iter:82] avg_LOSS: 1.930 | avg_ACC: 29.345% 
[epoch:0, iter:83] avg_LOSS: 1.925 | avg_ACC: 29.575% 
[epoch:0, iter:84] avg_LOSS: 1.921 | avg_ACC: 29.688% 
[epoch:0, iter:85] avg_LOSS: 1.920 | avg_ACC: 29.816% 
[epoch:0, iter:86] avg_LOSS: 1.914 | avg_ACC: 29.906% 
[epoch:0, iter:87] avg_LOSS: 1.912 | avg_ACC: 30.047% 
[epoch:0, iter:88] avg_LOSS: 1.910 | avg_ACC: 30.078% 
[epoch:0, iter:89] avg_LOSS: 1.906 | avg_ACC: 30.232% 
[epoch:0, iter:90] avg_LOSS: 1.909 | avg_ACC: 30.191% 
[epoch:0, iter:91] avg_LOSS: 1.906 | avg_ACC: 30.254% 
[epoch:0, iter:92] avg_LOSS: 1.901 | avg_ACC: 30.401% 
[epoch:0, iter:93] avg_LOSS: 1.897 | avg_ACC: 30.494% 
[epoch:0, iter:94] avg_LOSS: 1.895 | avg_ACC: 30.568% 
[epoch:0, iter:95] avg_LOSS: 1.893 | avg_ACC: 30.674% 
[epoch:0, iter:96] avg_LOSS: 1.892 | avg_ACC: 30.713% 
[epoch:0, iter:97] avg_LOSS: 1.889 | avg_ACC: 30.815% 
[epoch:0, iter:98] avg_LOSS: 1.887 | avg_ACC: 30.883% 
[epoch:0, iter:99] avg_LOSS: 1.884 | avg_ACC: 30.950% 
[epoch:0, iter:100] avg_LOSS: 1.882 | avg_ACC: 31.109% 
[epoch:0, iter:101] avg_LOSS: 1.881 | avg_ACC: 31.095% 
[epoch:0, iter:102] avg_LOSS: 1.878 | avg_ACC: 31.173% 
[epoch:0, iter:103] avg_LOSS: 1.877 | avg_ACC: 31.250% 
[epoch:0, iter:104] avg_LOSS: 1.874 | avg_ACC: 31.325% 
[epoch:0, iter:105] avg_LOSS: 1.870 | avg_ACC: 31.414% 
[epoch:0, iter:106] avg_LOSS: 1.867 | avg_ACC: 31.427% 
[epoch:0, iter:107] avg_LOSS: 1.864 | avg_ACC: 31.542% 
[epoch:0, iter:108] avg_LOSS: 1.863 | avg_ACC: 31.525% 
[epoch:0, iter:109] avg_LOSS: 1.860 | avg_ACC: 31.666% 
[epoch:0, iter:110] avg_LOSS: 1.856 | avg_ACC: 31.804% 
[epoch:0, iter:111] avg_LOSS: 1.855 | avg_ACC: 31.799% 
[epoch:0, iter:112] avg_LOSS: 1.852 | avg_ACC: 31.906% 
[epoch:0, iter:113] avg_LOSS: 1.851 | avg_ACC: 31.914% 
[epoch:0, iter:114] avg_LOSS: 1.848 | avg_ACC: 32.031% 
[epoch:0, iter:115] avg_LOSS: 1.845 | avg_ACC: 32.147% 
[epoch:0, iter:116] avg_LOSS: 1.843 | avg_ACC: 32.247% 
[epoch:0, iter:117] avg_LOSS: 1.842 | avg_ACC: 32.292% 
[epoch:0, iter:118] avg_LOSS: 1.840 | avg_ACC: 32.362% 
[epoch:0, iter:119] avg_LOSS: 1.838 | avg_ACC: 32.405% 
[epoch:0, iter:120] avg_LOSS: 1.836 | avg_ACC: 32.526% 
[epoch:0, iter:121] avg_LOSS: 1.833 | avg_ACC: 32.683% 
[epoch:0, iter:122] avg_LOSS: 1.831 | avg_ACC: 32.761% 
[epoch:0, iter:123] avg_LOSS: 1.829 | avg_ACC: 32.851% 
[epoch:0, iter:124] avg_LOSS: 1.827 | avg_ACC: 32.951% 
[epoch:0, iter:125] avg_LOSS: 1.825 | avg_ACC: 33.025% 
[epoch:0, iter:126] avg_LOSS: 1.824 | avg_ACC: 33.110% 
[epoch:0, iter:127] avg_LOSS: 1.822 | avg_ACC: 33.145% 
[epoch:0, iter:128] avg_LOSS: 1.820 | avg_ACC: 33.215% 
[epoch:0, iter:129] avg_LOSS: 1.817 | avg_ACC: 33.285% 
[epoch:0, iter:130] avg_LOSS: 1.813 | avg_ACC: 33.413% 
[epoch:0, iter:131] avg_LOSS: 1.811 | avg_ACC: 33.504% 
[epoch:0, iter:132] avg_LOSS: 1.809 | avg_ACC: 33.535% 
[epoch:0, iter:133] avg_LOSS: 1.808 | avg_ACC: 33.541% 
[epoch:0, iter:134] avg_LOSS: 1.804 | avg_ACC: 33.617% 
[epoch:0, iter:135] avg_LOSS: 1.800 | avg_ACC: 33.750% 
[epoch:0, iter:136] avg_LOSS: 1.798 | avg_ACC: 33.835% 
[epoch:0, iter:137] avg_LOSS: 1.796 | avg_ACC: 33.953% 
[epoch:0, iter:138] avg_LOSS: 1.795 | avg_ACC: 34.001% 
[epoch:0, iter:139] avg_LOSS: 1.792 | avg_ACC: 34.184% 
[epoch:0, iter:140] avg_LOSS: 1.788 | avg_ACC: 34.252% 
[epoch:0, iter:141] avg_LOSS: 1.786 | avg_ACC: 34.342% 
[epoch:0, iter:142] avg_LOSS: 1.786 | avg_ACC: 34.353% 
[epoch:0, iter:143] avg_LOSS: 1.784 | avg_ACC: 34.506% 
[epoch:0, iter:144] avg_LOSS: 1.783 | avg_ACC: 34.581% 
[epoch:0, iter:145] avg_LOSS: 1.781 | avg_ACC: 34.688% 
[epoch:0, iter:146] avg_LOSS: 1.778 | avg_ACC: 34.814% 
[epoch:0, iter:147] avg_LOSS: 1.778 | avg_ACC: 34.843% 
[epoch:0, iter:148] avg_LOSS: 1.781 | avg_ACC: 34.829% 
[epoch:0, iter:149] avg_LOSS: 1.782 | avg_ACC: 34.847% 
[epoch:0, iter:150] avg_LOSS: 1.783 | avg_ACC: 34.865% 
[epoch:0, iter:151] avg_LOSS: 1.783 | avg_ACC: 34.861% 
[epoch:0, iter:152] avg_LOSS: 1.782 | avg_ACC: 34.920% 
[epoch:0, iter:153] avg_LOSS: 1.781 | avg_ACC: 34.947% 
[epoch:0, iter:154] avg_LOSS: 1.777 | avg_ACC: 35.055% 
[epoch:0, iter:155] avg_LOSS: 1.775 | avg_ACC: 35.131% 
[epoch:0, iter:156] avg_LOSS: 1.773 | avg_ACC: 35.216% 
[epoch:0, iter:157] avg_LOSS: 1.774 | avg_ACC: 35.241% 
[epoch:0, iter:158] avg_LOSS: 1.772 | avg_ACC: 35.344% 
[epoch:0, iter:159] avg_LOSS: 1.769 | avg_ACC: 35.426% 
[epoch:0, iter:160] avg_LOSS: 1.768 | avg_ACC: 35.498% 
[epoch:0, iter:161] avg_LOSS: 1.767 | avg_ACC: 35.578% 
[epoch:0, iter:162] avg_LOSS: 1.766 | avg_ACC: 35.610% 
[epoch:0, iter:163] avg_LOSS: 1.765 | avg_ACC: 35.631% 
[epoch:0, iter:164] avg_LOSS: 1.763 | avg_ACC: 35.728% 
[epoch:0, iter:165] avg_LOSS: 1.762 | avg_ACC: 35.729% 
[epoch:0, iter:166] avg_LOSS: 1.761 | avg_ACC: 35.749% 
[epoch:0, iter:167] avg_LOSS: 1.761 | avg_ACC: 35.694% 
[epoch:0, iter:168] avg_LOSS: 1.760 | avg_ACC: 35.733% 
[epoch:0, iter:169] avg_LOSS: 1.758 | avg_ACC: 35.891% 
[epoch:0, iter:170] avg_LOSS: 1.759 | avg_ACC: 35.855% 
[epoch:0, iter:171] avg_LOSS: 1.761 | avg_ACC: 35.828% 
[epoch:0, iter:172] avg_LOSS: 1.760 | avg_ACC: 35.810% 
[epoch:0, iter:173] avg_LOSS: 1.759 | avg_ACC: 35.883% 
[epoch:0, iter:174] avg_LOSS: 1.756 | avg_ACC: 36.018% 
[epoch:0, iter:175] avg_LOSS: 1.754 | avg_ACC: 36.143% 
[epoch:0, iter:176] avg_LOSS: 1.752 | avg_ACC: 36.230% 
[epoch:0, iter:177] avg_LOSS: 1.750 | avg_ACC: 36.361% 
[epoch:0, iter:178] avg_LOSS: 1.747 | avg_ACC: 36.447% 
[epoch:0, iter:179] avg_LOSS: 1.746 | avg_ACC: 36.496% 
[epoch:0, iter:180] avg_LOSS: 1.745 | avg_ACC: 36.545% 
[epoch:0, iter:181] avg_LOSS: 1.743 | avg_ACC: 36.645% 
[epoch:0, iter:182] avg_LOSS: 1.741 | avg_ACC: 36.762% 
[epoch:0, iter:183] avg_LOSS: 1.739 | avg_ACC: 36.860% 
[epoch:0, iter:184] avg_LOSS: 1.737 | avg_ACC: 36.923% 
[epoch:0, iter:185] avg_LOSS: 1.737 | avg_ACC: 36.951% 
[epoch:0, iter:186] avg_LOSS: 1.737 | avg_ACC: 36.988% 
[epoch:0, iter:187] avg_LOSS: 1.735 | avg_ACC: 37.049% 
[epoch:0, iter:188] avg_LOSS: 1.734 | avg_ACC: 37.093% 
[epoch:0, iter:189] avg_LOSS: 1.734 | avg_ACC: 37.095% 
[epoch:0, iter:190] avg_LOSS: 1.733 | avg_ACC: 37.122% 
[epoch:0, iter:191] avg_LOSS: 1.732 | avg_ACC: 37.116% 
[epoch:0, iter:192] avg_LOSS: 1.732 | avg_ACC: 37.126% 
[epoch:0, iter:193] avg_LOSS: 1.730 | avg_ACC: 37.192% 
[epoch:0, iter:194] avg_LOSS: 1.729 | avg_ACC: 37.234% 
[epoch:0, iter:195] avg_LOSS: 1.727 | avg_ACC: 37.284% 
[epoch:0, iter:196] avg_LOSS: 1.727 | avg_ACC: 37.309% 
[epoch:0, iter:197] avg_LOSS: 1.728 | avg_ACC: 37.333% 
[epoch:0, iter:198] avg_LOSS: 1.726 | avg_ACC: 37.413% 
[epoch:0, iter:199] avg_LOSS: 1.724 | avg_ACC: 37.469% 
[epoch:0, iter:200] avg_LOSS: 1.723 | avg_ACC: 37.539% 
[epoch:0, iter:201] avg_LOSS: 1.723 | avg_ACC: 37.562% 
[epoch:0, iter:202] avg_LOSS: 1.722 | avg_ACC: 37.601% 
[epoch:0, iter:203] avg_LOSS: 1.719 | avg_ACC: 37.677% 
[epoch:0, iter:204] avg_LOSS: 1.717 | avg_ACC: 37.707% 
[epoch:0, iter:205] avg_LOSS: 1.716 | avg_ACC: 37.767% 
[epoch:0, iter:206] avg_LOSS: 1.713 | avg_ACC: 37.849% 
[epoch:0, iter:207] avg_LOSS: 1.711 | avg_ACC: 37.908% 
[epoch:0, iter:208] avg_LOSS: 1.710 | avg_ACC: 37.981% 
[epoch:0, iter:209] avg_LOSS: 1.708 | avg_ACC: 38.008% 
[epoch:0, iter:210] avg_LOSS: 1.707 | avg_ACC: 38.051% 
[epoch:0, iter:211] avg_LOSS: 1.707 | avg_ACC: 38.092% 
[epoch:0, iter:212] avg_LOSS: 1.705 | avg_ACC: 38.126% 
[epoch:0, iter:213] avg_LOSS: 1.703 | avg_ACC: 38.182% 
[epoch:0, iter:214] avg_LOSS: 1.702 | avg_ACC: 38.259% 
[epoch:0, iter:215] avg_LOSS: 1.702 | avg_ACC: 38.278% 
[epoch:0, iter:216] avg_LOSS: 1.700 | avg_ACC: 38.296% 
[epoch:0, iter:217] avg_LOSS: 1.701 | avg_ACC: 38.314% 
[epoch:0, iter:218] avg_LOSS: 1.698 | avg_ACC: 38.403% 
[epoch:0, iter:219] avg_LOSS: 1.697 | avg_ACC: 38.492% 
[epoch:0, iter:220] avg_LOSS: 1.695 | avg_ACC: 38.565% 
[epoch:0, iter:221] avg_LOSS: 1.694 | avg_ACC: 38.596% 
[epoch:0, iter:222] avg_LOSS: 1.693 | avg_ACC: 38.605% 
[epoch:0, iter:223] avg_LOSS: 1.693 | avg_ACC: 38.586% 
[epoch:0, iter:224] avg_LOSS: 1.692 | avg_ACC: 38.644% 
[epoch:0, iter:225] avg_LOSS: 1.690 | avg_ACC: 38.729% 
[epoch:0, iter:226] avg_LOSS: 1.687 | avg_ACC: 38.800% 
[epoch:0, iter:227] avg_LOSS: 1.686 | avg_ACC: 38.849% 
[epoch:0, iter:228] avg_LOSS: 1.685 | avg_ACC: 38.891% 
[epoch:0, iter:229] avg_LOSS: 1.684 | avg_ACC: 38.919% 
[epoch:0, iter:230] avg_LOSS: 1.682 | avg_ACC: 38.933% 
[epoch:0, iter:231] avg_LOSS: 1.682 | avg_ACC: 38.948% 
[epoch:0, iter:232] avg_LOSS: 1.681 | avg_ACC: 38.988% 
[epoch:0, iter:233] avg_LOSS: 1.680 | avg_ACC: 39.029% 
[epoch:0, iter:234] avg_LOSS: 1.679 | avg_ACC: 39.049% 
[epoch:0, iter:235] avg_LOSS: 1.678 | avg_ACC: 39.049% 
[epoch:0, iter:236] avg_LOSS: 1.676 | avg_ACC: 39.096% 
[epoch:0, iter:237] avg_LOSS: 1.676 | avg_ACC: 39.089% 
[epoch:0, iter:238] avg_LOSS: 1.675 | avg_ACC: 39.108% 
[epoch:0, iter:239] avg_LOSS: 1.673 | avg_ACC: 39.167% 
[epoch:0, iter:240] avg_LOSS: 1.673 | avg_ACC: 39.167% 
[epoch:0, iter:241] avg_LOSS: 1.672 | avg_ACC: 39.186% 
[epoch:0, iter:242] avg_LOSS: 1.672 | avg_ACC: 39.230% 
[epoch:0, iter:243] avg_LOSS: 1.670 | avg_ACC: 39.243% 
[epoch:0, iter:244] avg_LOSS: 1.669 | avg_ACC: 39.312% 
[epoch:0, iter:245] avg_LOSS: 1.667 | avg_ACC: 39.369% 
[epoch:0, iter:246] avg_LOSS: 1.666 | avg_ACC: 39.412% 
[epoch:0, iter:247] avg_LOSS: 1.664 | avg_ACC: 39.455% 
[epoch:0, iter:248] avg_LOSS: 1.662 | avg_ACC: 39.504% 
[epoch:0, iter:249] avg_LOSS: 1.662 | avg_ACC: 39.527% 
[epoch:0, iter:250] avg_LOSS: 1.662 | avg_ACC: 39.513% 
[epoch:0, iter:251] avg_LOSS: 1.661 | avg_ACC: 39.579% 
[epoch:0, iter:252] avg_LOSS: 1.659 | avg_ACC: 39.639% 
[epoch:0, iter:253] avg_LOSS: 1.658 | avg_ACC: 39.686% 
[epoch:0, iter:254] avg_LOSS: 1.655 | avg_ACC: 39.782% 
[epoch:0, iter:255] avg_LOSS: 1.654 | avg_ACC: 39.853% 
[epoch:0, iter:256] avg_LOSS: 1.653 | avg_ACC: 39.893% 
[epoch:0, iter:257] avg_LOSS: 1.652 | avg_ACC: 39.956% 
[epoch:0, iter:258] avg_LOSS: 1.651 | avg_ACC: 39.977% 
[epoch:0, iter:259] avg_LOSS: 1.650 | avg_ACC: 40.022% 
[epoch:0, iter:260] avg_LOSS: 1.649 | avg_ACC: 40.072% 
[epoch:0, iter:261] avg_LOSS: 1.648 | avg_ACC: 40.128% 
[epoch:0, iter:262] avg_LOSS: 1.647 | avg_ACC: 40.178% 
[epoch:0, iter:263] avg_LOSS: 1.645 | avg_ACC: 40.263% 
[epoch:0, iter:264] avg_LOSS: 1.644 | avg_ACC: 40.305% 
[epoch:0, iter:265] avg_LOSS: 1.644 | avg_ACC: 40.318% 
[epoch:0, iter:266] avg_LOSS: 1.642 | avg_ACC: 40.372% 
[epoch:0, iter:267] avg_LOSS: 1.640 | avg_ACC: 40.432% 
[epoch:0, iter:268] avg_LOSS: 1.639 | avg_ACC: 40.450% 
[epoch:0, iter:269] avg_LOSS: 1.639 | avg_ACC: 40.480% 
[epoch:0, iter:270] avg_LOSS: 1.637 | avg_ACC: 40.544% 
[epoch:0, iter:271] avg_LOSS: 1.635 | avg_ACC: 40.590% 
[epoch:0, iter:272] avg_LOSS: 1.634 | avg_ACC: 40.625% 
[epoch:0, iter:273] avg_LOSS: 1.633 | avg_ACC: 40.665% 
[epoch:0, iter:274] avg_LOSS: 1.631 | avg_ACC: 40.711% 
[epoch:0, iter:275] avg_LOSS: 1.630 | avg_ACC: 40.750% 
[epoch:0, iter:276] avg_LOSS: 1.629 | avg_ACC: 40.795% 
[epoch:0, iter:277] avg_LOSS: 1.628 | avg_ACC: 40.845% 
[epoch:0, iter:278] avg_LOSS: 1.626 | avg_ACC: 40.900% 
[epoch:0, iter:279] avg_LOSS: 1.625 | avg_ACC: 40.939% 
[epoch:0, iter:280] avg_LOSS: 1.624 | avg_ACC: 41.010% 
[epoch:0, iter:281] avg_LOSS: 1.623 | avg_ACC: 41.053% 
[epoch:0, iter:282] avg_LOSS: 1.623 | avg_ACC: 41.079% 
[epoch:0, iter:283] avg_LOSS: 1.620 | avg_ACC: 41.166% 
[epoch:0, iter:284] avg_LOSS: 1.621 | avg_ACC: 41.148% 
[epoch:0, iter:285] avg_LOSS: 1.620 | avg_ACC: 41.179% 
[epoch:0, iter:286] avg_LOSS: 1.620 | avg_ACC: 41.215% 
[epoch:0, iter:287] avg_LOSS: 1.619 | avg_ACC: 41.240% 
[epoch:0, iter:288] avg_LOSS: 1.617 | avg_ACC: 41.309% 
[epoch:0, iter:289] avg_LOSS: 1.615 | avg_ACC: 41.382% 
[epoch:0, iter:290] avg_LOSS: 1.614 | avg_ACC: 41.439% 
[epoch:0, iter:291] avg_LOSS: 1.612 | avg_ACC: 41.473% 
[epoch:0, iter:292] avg_LOSS: 1.612 | avg_ACC: 41.513% 
[epoch:0, iter:293] avg_LOSS: 1.610 | avg_ACC: 41.548% 
[epoch:0, iter:294] avg_LOSS: 1.608 | avg_ACC: 41.614% 
[epoch:0, iter:295] avg_LOSS: 1.607 | avg_ACC: 41.700% 
[epoch:0, iter:296] avg_LOSS: 1.606 | avg_ACC: 41.728% 
[epoch:0, iter:297] avg_LOSS: 1.605 | avg_ACC: 41.756% 
[epoch:0, iter:298] avg_LOSS: 1.604 | avg_ACC: 41.810% 
[epoch:0, iter:299] avg_LOSS: 1.603 | avg_ACC: 41.853% 
[epoch:0, iter:300] avg_LOSS: 1.602 | avg_ACC: 41.906% 
[epoch:0, iter:301] avg_LOSS: 1.601 | avg_ACC: 41.954% 
[epoch:0, iter:302] avg_LOSS: 1.600 | avg_ACC: 42.006% 
[epoch:0, iter:303] avg_LOSS: 1.600 | avg_ACC: 42.012% 
[epoch:0, iter:304] avg_LOSS: 1.600 | avg_ACC: 42.018% 
[epoch:0, iter:305] avg_LOSS: 1.599 | avg_ACC: 42.049% 
[epoch:0, iter:306] avg_LOSS: 1.598 | avg_ACC: 42.111% 
[epoch:0, iter:307] avg_LOSS: 1.598 | avg_ACC: 42.111% 
[epoch:0, iter:308] avg_LOSS: 1.597 | avg_ACC: 42.152% 
[epoch:0, iter:309] avg_LOSS: 1.595 | avg_ACC: 42.223% 
[epoch:0, iter:310] avg_LOSS: 1.593 | avg_ACC: 42.283% 
[epoch:0, iter:311] avg_LOSS: 1.593 | avg_ACC: 42.298% 
[epoch:0, iter:312] avg_LOSS: 1.592 | avg_ACC: 42.333% 
[epoch:0, iter:313] avg_LOSS: 1.591 | avg_ACC: 42.337% 
[epoch:0, iter:314] avg_LOSS: 1.591 | avg_ACC: 42.327% 
[epoch:0, iter:315] avg_LOSS: 1.589 | avg_ACC: 42.386% 
[epoch:0, iter:316] avg_LOSS: 1.589 | avg_ACC: 42.405% 
[epoch:0, iter:317] avg_LOSS: 1.589 | avg_ACC: 42.419% 
[epoch:0, iter:318] avg_LOSS: 1.588 | avg_ACC: 42.433% 
[epoch:0, iter:319] avg_LOSS: 1.587 | avg_ACC: 42.481% 
[epoch:0, iter:320] avg_LOSS: 1.586 | avg_ACC: 42.505% 
[epoch:0, iter:321] avg_LOSS: 1.586 | avg_ACC: 42.538% 
[epoch:0, iter:322] avg_LOSS: 1.584 | avg_ACC: 42.556% 
[epoch:0, iter:323] avg_LOSS: 1.583 | avg_ACC: 42.628% 
[epoch:0, iter:324] avg_LOSS: 1.583 | avg_ACC: 42.646% 
[epoch:0, iter:325] avg_LOSS: 1.582 | avg_ACC: 42.678% 
[epoch:0, iter:326] avg_LOSS: 1.581 | avg_ACC: 42.734% 
[epoch:0, iter:327] avg_LOSS: 1.579 | avg_ACC: 42.770% 
[epoch:0, iter:328] avg_LOSS: 1.579 | avg_ACC: 42.797% 
[epoch:0, iter:329] avg_LOSS: 1.578 | avg_ACC: 42.838% 
[epoch:0, iter:330] avg_LOSS: 1.578 | avg_ACC: 42.822% 
[epoch:0, iter:331] avg_LOSS: 1.577 | avg_ACC: 42.881% 
[epoch:0, iter:332] avg_LOSS: 1.576 | avg_ACC: 42.889% 
[epoch:0, iter:333] avg_LOSS: 1.575 | avg_ACC: 42.919% 
[epoch:0, iter:334] avg_LOSS: 1.575 | avg_ACC: 42.913% 
[epoch:0, iter:335] avg_LOSS: 1.574 | avg_ACC: 42.943% 
[epoch:0, iter:336] avg_LOSS: 1.573 | avg_ACC: 42.955% 
[epoch:0, iter:337] avg_LOSS: 1.572 | avg_ACC: 42.985% 
[epoch:0, iter:338] avg_LOSS: 1.571 | avg_ACC: 43.047% 
[epoch:0, iter:339] avg_LOSS: 1.570 | avg_ACC: 43.082% 
[epoch:0, iter:340] avg_LOSS: 1.570 | avg_ACC: 43.079% 
[epoch:0, iter:341] avg_LOSS: 1.568 | avg_ACC: 43.099% 
[epoch:0, iter:342] avg_LOSS: 1.568 | avg_ACC: 43.124% 
[epoch:0, iter:343] avg_LOSS: 1.567 | avg_ACC: 43.144% 
[epoch:0, iter:344] avg_LOSS: 1.566 | avg_ACC: 43.187% 
[epoch:0, iter:345] avg_LOSS: 1.566 | avg_ACC: 43.170% 
[epoch:0, iter:346] avg_LOSS: 1.565 | avg_ACC: 43.217% 
[epoch:0, iter:347] avg_LOSS: 1.564 | avg_ACC: 43.259% 
[epoch:0, iter:348] avg_LOSS: 1.564 | avg_ACC: 43.247% 
[epoch:0, iter:349] avg_LOSS: 1.563 | avg_ACC: 43.280% 
